work;separation;partner;marriage;children
22;;;23;24
18;19;;30;36
31;16;;21;22
19;;;37;31
21;23;;21;30
18;21;;21;23
31;29;;30;33
20;22;;22;24
22;;;31;34
21;;33;;
20;;;22;23
20;20;;20;21
;20;;20;21
;18;;18;19
18;19;;19;20
19;31;;31;34
20;23;;22;24
21;22;;22;31
19;30;;21;23
19;24;24;26;26
22;;;;
17;20;;23;25
17;;;;
20;23;;23;23
23;23;;23;24
19;23;;24;25
19;;21;22;22
21;20;;19;21
20;20;;21;22
15;27;21;;
18;;;25;25
18;19;;19;20
15;;;22;23
16;;23;23;23
24;16;;19;17
;;;31;32
10;;;23;23
14;;;27;29
20;20;;20;21
;;;16;17
16;21;;23;23
20;25;;25;26
;;;19;19
14;21;;23;24
17;18;18;19;17
21;;;;
16;19;24;33;25
15;20;;21;22
27;18;;23;25
12;18;18;;19
19;17;26;;
20;18;;;
23;;;27;27
18;20;;20;33
16;26;;26;41
17;34;40;;21
21;;;;
17;18;18;18;19
18;22;;29;31
17;18;;18;19
21;22;;;
20;20;;;
18;;21;21;23
20;;;22;
;;;;
20;21;;21;26
20;;;;
21;22;;;
;;;18;18
18;;20;21;22
;;;20;21
;;;;
25;28;27;27;28
;17;;21;25
25;26;23;23;26
;;;21;25
17;20;;20;21
22;19;;24;25
23;;;;
23;23;30;30;32
;;;;
16;;;24;25
21;21;;21;22
17;15;;;
;20;;20;21
21;18;;21;
22;;;32;34
18;30;;23;25
17;18;;25;26
;17;;;
16;19;;25;26
16;;;18;
19;17;;24;25
20;28;;32;37
21;17;23;24;27
18;14;;26;29
21;21;19;19;20
20;27;;23;22
20;50;26;26;27
;;;;24
17;17;;21;31
;19;;19;20
;;;;
22;17;;22;23
22;;;22;24
;22;;20;21
20;20;20;21;
25;27;;27;29
17;17;;22;23
18;20;;22;26
17;17;20;21;22
24;26;19;19;19
;;;;
;21;;22;26
20;20;;23;24
19;20;;27;24
20;20;;20;23
;;;;31
15;19;;26;36
20;;22;22;25
20;18;38;21;22
21;26;18;39;18
15;18;29;;29
13;23;;23;24
;17;;;
;;;;
;17;;;
;15;;;
;16;17;;
;;;31;31
20;24;;24;26
;21;;21;22
;22;22;22;23
;22;;22;24
;24;24;25;25
;22;;22;
20;20;;22;24
18;;;20;24
20;;24;24;26
21;23;;22;23
;20;;22;
22;20;;23;26
;28;;20;22
;25;;23;24
;24;;24;25
19;22;;;
;22;25;27;27
16;23;;23;23
21;17;;24;26
22;25;;25;27
21;36;;24;25
21;;;;
17;18;;18;19
19;;;;
17;25;20;20;29
20;20;21;24;27
17;25;;22;24
14;;;19;21
;;38;39;39
20;24;24;;25
17;17;;21;23
15;15;;25;26
21;28;;25;25
16;18;;25;27
22;17;;;
15;21;;22;
15;32;;24;26
17;17;;18;19
18;22;;23;24
;17;;;
;16;;;
17;18;;20;21
22;20;;20;20
21;19;;19;19
24;17;;21;22
16;25;;25;26
16;18;;18;20
20;17;;22;22
23;;;20;20
21;20;23;24;
16;29;29;29;
17;17;;27;36
17;25;25;27;26
17;18;;18;19
23;18;;24;26
;15;22;23;23
;19;18;19;
21;19;;19;21
26;21;;21;22
;18;;;
20;19;;21;22
21;17;;20;22
;17;;;
;;;;
23;16;27;;
19;16;;24;25
14;;31;32;
17;;;19;20
;;;;
17;17;;20;21
;;;;
20;16;;16;16
16;19;;23;24
22;22;25;;26
21;18;;25;26
24;24;;26;27
17;18;23;19;18
17;;;;
17;15;17;17;18
18;18;;25;26
19;;;20;21
;;;;19
22;17;;;
23;23;;23;24
25;;;25;26
19;20;;;
23;;;18;20
;;;;
;;;20;21
22;17;;24;25
23;20;;31;32
;;;;
19;;;;
19;19;19;20;21
16;;;;
;32;;27;28
17;;;;
19;24;22;23;24
;19;19;20;20
;;;;
;16;;17;18
16;16;21;;
;;;17;
17;17;;23;25
22;18;;19;20
18;18;19;21;21
12;;24;24;26
18;17;;26;28
18;17;;;
16;18;;;
;;;25;26
23;18;;;
19;;;23;24
;;;19;20
20;16;;25;27
18;;;17;19
;;;;
;17;;21;23
16;16;;25;26
;;28;28;28
22;17;26;26;27
;;;;
20;20;;27;29
18;;;19;20
19;;;18;20
16;16;;23;24
;17;;17;21
16;19;;19;20
22;19;;31;32
19;;;;
18;19;;23;24
24;21;;21;24
18;22;;22;23
19;;;;
25;18;22;;25
;;;17;19
;24;;24;26
17;;;19;
24;21;;27;24
;25;;25;26
21;24;24;24;20
22;22;;25;
19;17;;23;24
18;18;;23;23
;19;;23;26
21;21;;22;23
;22;;26;31
41;31;;23;24
42;;21;21;22
31;29;;30;37
;24;;24;24
;;;19;20
17;;;;
24;25;25;;
19;18;;;
;;;;
;24;40;24;35
19;;;;
16;26;;28;29
18;;;;
24;25;;25;26
18;18;;18;19
19;14;20;20;39
;17;;17;17
;;;;
15;16;;16;16
18;;;20;22
23;23;;23;24
;17;16;17;17
21;21;21;22;
21;26;;23;23
16;26;26;29;30
19;30;;24;26
;17;18;20;19
37;44;;41;42
13;18;;19;20
;20;;;
16;40;;20;21
18;20;20;20;20
16;20;;22;
18;24;;24;25
15;17;;18;19
16;16;;21;22
16;19;;19;20
18;21;;21;22
14;19;;19;21
15;18;;18;
17;;;;
21;22;;22;23
16;21;23;23;24
17;;;20;
29;;;;22
;;20;20;20
;;;19;20
21;20;;20;21
;23;;;27
23;;27;;
21;43;;43;27
;;;33;33
20;;;31;31
25;20;;20;21
;;;31;32
;;;27;26
18;;;;
;;;23;
18;18;;28;28
21;;;;
;25;;20;21
40;38;;38;
;;;;
;18;;20;20
;;;18;20
;18;;20;20
25;;;31;
14;;;;
16;;;;
;;;;
14;;;;
24;23;;;
16;19;;;
;;;19;19
22;22;22;23;23
;;;23;24
;;;39;22
18;18;;19;20
28;28;;28;28
20;22;;21;22
20;;26;24;28
19;;;19;20
;20;;22;23
;26;;23;23
20;;;23;35
;34;22;33;35
;17;;26;28
;23;;23;20
19;19;;19;22
16;16;;26;30
20;;;;
18;18;;20;22
19;;;19;20
;;;19;20
19;;21;;
19;23;29;;
19;19;;23;25
;24;;24;27
18;20;;;
19;18;18;19;20
22;23;;23;23
22;19;;19;21
10;21;;25;25
14;15;15;24;24
14;16;22;26;26
17;;;27;29
23;;23;25;20
;15;26;26;27
16;19;;19;22
16;23;20;23;23
18;18;;21;23
20;23;;21;22
20;21;;21;22
18;21;;23;24
18;19;;19;21
18;;52;52;31
20;22;;22;24
14;20;;20;21
19;23;23;20;21
21;20;;24;25
;17;22;22;23
;;26;26;26
;23;;23;24
15;30;21;21;22
12;18;;22;22
;18;22;22;
20;22;35;35;25
17;21;21;23;23
18;21;;21;22
19;25;;21;22
21;21;;21;21
17;19;22;22;23
19;19;;22;23
17;19;19;20;21
18;18;;22;22
15;18;15;21;21
17;28;;24;25
22;18;;;
17;16;;19;
18;24;;24;23
18;17;21;21;22
20;20;;;
;;;;
;19;;19;21
25;20;;25;25
16;18;;20;20
17;24;24;24;26
11;21;;22;24
18;19;;24;27
18;16;25;26;28
23;26;;26;28
16;16;19;19;20
18;;;;
19;16;20;20;21
17;17;;20;22
15;17;;23;24
17;21;21;27;27
;;;;
17;;23;23;24
;23;;23;24
;19;19;18;18
19;20;20;20;20
;19;;25;26
22;20;20;;
24;25;25;;
21;23;;23;24
18;;;;
;;;;
;22;;22;23
19;;;;
20;20;23;22;24
;17;;21;25
21;19;;;
24;24;;24;26
18;18;18;18;21
13;21;;25;36
16;20;;22;30
;19;;22;23
19;22;25;;
16;20;;20;21
19;;;;
13;;;24;25
16;16;;25;26
15;27;;27;33
19;20;;19;19
21;21;;22;23
18;19;;19;20
20;25;;27;27
17;18;18;20;23
19;23;;23;26
21;15;22;21;22
;16;;16;17
23;17;;;34
;17;21;21;22
;;;21;23
;25;;25;26
;17;;;20
;18;;19;20
17;19;;;
;17;;26;27
20;20;;;
16;17;;24;24
17;15;;19;19
;19;;19;20
;18;;23;24
;25;;;25
22;24;;26;27
18;;;;38
20;30;;29;31
16;19;23;23;21
21;;;;
;30;;25;27
16;16;;20;21
26;26;24;24;21
28;26;;26;27
;;;;
20;18;19;;18
22;23;;23;23
16;25;;22;23
23;25;;25;26
14;20;31;28;30
23;16;;23;24
17;17;24;24;28
17;17;;18;19
14;;;19;20
15;23;26;23;22
20;23;23;22;23
19;23;23;23;24
21;23;29;23;27
23;27;;25;27
16;21;;22;26
16;16;;21;22
23;27;;27;27
17;19;;22;23
16;18;;20;22
20;23;;23;24
23;18;;;
;;;20;21
;18;;21;22
;17;;23;24
;19;;26;28
;18;;18;19
;31;;;
;18;;19;27
;18;;22;23
;19;;21;
;18;24;24;24
;;;;23
;19;;;21
;;;20;23
43;;;;21
;;;39;
;23;;23;28
;;;19;20
17;12;;19;20
22;22;;22;23
20;18;;22;22
19;16;;21;21
20;17;24;24;25
16;;;;
;27;;18;18
;22;;22;23
35;;;;
;22;;22;23
18;;;18;19
;21;;18;19
23;17;;23;25
;15;;22;23
;;;21;22
;20;;;23
13;20;;20;23
14;16;;24;28
18;;;21;21
16;22;;21;22
18;;;22;23
18;18;21;21;22
22;18;;22;23
15;17;;18;21
21;18;26;26;27
15;16;;23;25
20;16;;19;21
22;17;24;25;25
;17;19;;
;;;20;22
17;18;44;27;28
12;;;27;
39;19;19;19;20
22;23;;23;
31;17;;28;30
22;17;17;;23
16;;;18;20
15;22;;22;
22;18;;24;25
18;15;;19;20
22;20;;24;24
17;17;;;21
17;20;;20;22
18;18;;19;20
20;18;;21;34
27;32;;;33
15;;;36;37
23;23;18;;
;;;;25
;21;21;21;22
22;;26;;
23;23;;;21
18;;23;24;25
22;15;22;23;23
21;32;;26;27
;;21;21;22
17;17;;24;24
16;;;;
;28;28;33;29
20;25;20;20;20
14;18;18;19;19
18;19;;19;24
17;;;26;38
18;19;24;24;29
22;19;19;19;22
21;;;;
18;18;;23;24
14;17;;17;19
21;27;;27;30
20;21;;21;23
21;28;;28;25
17;18;18;23;
18;;19;;23
20;14;;19;
19;21;;;27
21;18;;22;24
16;17;;22;22
14;14;29;22;
13;19;;19;20
18;14;;21;28
19;25;;23;24
16;;;;
;17;;25;27
19;17;;22;23
22;19;23;26;
17;17;;20;20
18;21;21;;
20;;;21;22
18;19;19;19;20
18;20;20;19;21
19;21;;21;18
;30;;20;20
;;;;
18;42;42;19;20
;;;21;23
21;;;18;19
27;20;;20;21
18;;;28;24
18;28;;19;35
19;21;;21;23
20;18;;18;19
20;;;;
;;;;
;;;21;
18;16;;22;22
18;22;;22;23
17;21;;26;27
16;22;22;22;22
16;22;;23;23
24;17;;24;24
20;20;;20;28
20;28;;33;38
19;20;21;21;22
24;17;;24;25
17;17;;23;24
;;;;
15;27;18;18;19
20;22;;20;24
18;19;;19;19
17;19;;21;22
18;36;17;18;17
17;18;;18;20
22;20;;20;21
16;17;;;
17;23;;23;24
18;19;;19;20
22;24;;25;26
21;21;;24;16
19;20;;24;27
16;19;;19;19
;20;;21;23
;;;20;21
22;22;;;
;;;20;21
;;;;
;23;;23;
;;;;
;;;;
;;;18;28
;18;;;
;;;;
18;18;;22;23
;20;;20;20
46;24;;24;25
23;23;;20;24
18;15;;20;25
14;16;;17;18
;59;;22;32
;;;;
15;20;;25;27
18;22;;22;23
17;21;;24;25
46;19;;19;21
24;24;;18;18
16;16;;35;36
18;20;;20;21
19;17;;19;20
21;21;;21;21
16;21;;19;18
15;15;18;18;19
14;21;;21;22
20;15;;20;22
18;17;19;19;21
15;27;;26;18
;31;;25;26
18;19;;23;22
24;22;;22;24
;;45;24;25
12;21;;28;32
;;;;
19;16;;20;23
16;18;21;21;
15;21;21;23;23
19;23;23;23;23
17;15;;20;21
19;;16;;17
16;21;;22;33
18;18;;19;23
18;29;;29;30
;;;;
23;23;23;23;43
20;16;17;18;20
19;19;16;21;25
19;17;17;17;27
20;;;;
20;19;21;21;27
;;;;
20;21;;21;23
17;17;;18;20
19;21;19;20;24
17;21;;21;30
25;16;27;24;25
17;17;;22;24
17;17;;42;42
;17;;;
;;;;
16;21;;;
;17;;;
;18;21;;
;18;;;
22;19;;20;21
18;18;;;
15;21;21;22;
33;27;30;20;20
27;22;29;;
21;21;;21;22
19;16;;24;24
17;18;;;
17;19;22;22;22
18;22;;18;18
19;24;;21;21
15;18;;22;23
;19;;;
19;21;;20;20
21;18;;27;29
24;;18;18;19
19;17;;22;23
20;;;22;24
16;25;;25;
22;;;23;27
17;17;;24;25
21;21;24;25;26
19;21;;21;23
21;19;;;
17;23;23;23;24
17;;20;21;21
22;22;23;24;24
19;16;19;19;20
18;;;;21
17;;;;
22;23;23;23;24
21;23;23;23;28
20;20;;20;21
22;17;20;20;23
17;15;19;20;24
22;17;;23;25
21;22;;;
17;23;24;24;24
12;14;;25;26
19;17;29;29;31
19;23;;23;25
17;18;22;22;23
22;24;20;20;20
;;43;43;
;;;;
18;18;22;22;23
;;;;
20;21;21;21;22
19;19;;23;24
;;;;
18;26;;26;28
12;27;30;26;28
20;;;;
14;21;;21;22
12;23;;23;27
15;15;;18;19
22;17;22;;24
18;19;;23;24
32;22;;22;22
20;20;;18;19
18;20;;20;21
17;20;;24;25
16;16;;21;22
18;18;;20;21
20;19;24;27;24
17;17;17;18;18
17;23;23;23;28
20;20;22;22;22
19;15;19;19;19
17;17;18;18;19
21;21;;21;22
18;21;21;22;22
22;22;;24;25
17;31;;22;24
19;23;21;21;20
17;17;;22;23
21;22;;22;23
22;18;;18;19
16;16;16;17;16
17;25;;24;25
20;;;;
14;18;;19;20
20;23;35;;30
16;16;18;;21
16;19;;19;20
18;22;22;23;23
17;20;25;;27
18;17;39;39;26
17;19;;23;24
20;21;22;23;24
20;20;;18;20
18;21;;;
17;23;;24;34
26;;;;
16;;;;31
26;25;;22;23
28;;;26;27
26;19;;23;24
24;19;;24;26
18;;;23;25
18;20;;20;21
21;24;;24;25
17;23;;23;26
;17;;;
;22;;22;23
23;25;;25;26
;41;;22;24
;;;;
21;21;21;22;24
14;36;;;
20;17;;;
26;18;25;25;26
22;14;;22;23
17;23;;;
24;24;;32;33
18;21;;21;22
15;15;;20;23
18;18;28;25;27
21;17;31;;28
17;19;;25;26
20;16;;;
20;21;;;
;;;;
23;18;;25;26
24;23;;25;26
17;20;;23;24
23;23;;26;27
24;21;;;
25;20;;30;31
19;19;;19;22
21;20;;23;24
17;;27;27;29
18;18;;20;21
19;;;;
;;;24;25
22;26;26;;27
;22;22;26;27
20;20;;20;20
17;33;;20;21
;18;;18;20
24;18;;24;25
17;21;;22;23
17;19;;22;23
17;17;;21;22
22;22;;23;23
25;25;25;34;35
21;21;;23;24
;;;;
19;17;;23;24
21;23;;23;23
30;29;;29;
18;14;;20;26
21;17;;22;23
;;;;
20;17;;;
20;16;;18;19
16;31;;;
;;;22;17
23;28;36;37;39
;;;;23
;;;20;21
18;18;;;19
19;16;;;
17;19;;23;23
21;25;;25;30
;;;22;25
20;16;;19;20
15;15;15;;
;;22;22;22
21;;;;
21;19;;19;24
;;;;
22;24;24;25;25
19;17;;21;
;26;26;27;29
23;19;;19;19
18;25;;25;27
17;22;;22;23
;;;23;26
17;18;;20;19
15;26;;26;28
23;17;23;24;24
15;21;;21;23
20;19;19;21;20
21;21;;21;22
20;16;;22;23
16;19;25;;
15;18;18;19;19
18;18;;18;19
14;48;48;24;18
17;23;;25;26
19;18;;20;25
21;17;31;32;22
19;19;;22;23
20;19;;19;20
;;;;
22;16;;28;32
;;;;
17;17;;20;21
36;25;23;23;23
17;17;;21;22
17;20;;20;31
17;23;;24;25
18;;;21;22
23;18;;20;21
19;19;;21;22
16;13;;21;22
16;23;23;24;24
15;17;;17;18
16;18;;23;25
20;24;;22;24
15;15;;22;30
18;24;23;25;25
22;22;;22;22
21;16;29;;
22;;;24;24
18;18;;18;21
21;28;34;23;34
16;21;;21;30
16;17;;30;37
19;22;23;;41
16;18;;23;25
18;21;;18;24
22;14;;22;23
16;27;;20;
22;20;22;22;17
19;15;;28;29
22;23;;23;24
16;;;;
17;55;;24;25
17;21;;24;24
22;;;;
18;20;;24;24
19;24;;24;25
17;18;;21;27
18;19;;21;22
18;22;25;;
19;20;;24;26
19;24;;24;26
;;;;
18;26;26;26;27
26;21;;21;22
21;16;;20;
18;19;;24;25
15;15;;22;23
21;18;25;25;27
20;21;;21;22
17;18;;24;25
16;17;;22;22
23;25;;21;
23;18;;26;28
19;;19;19;20
14;24;20;28;21
17;;;;
19;;;;
15;18;18;19;19
20;17;;;
23;20;20;21;21
21;17;19;;
;;;18;22
;;;23;31
;;;;23
20;;;;22
;20;;22;23
16;17;;21;22
;;;;27
;;;;
;;;;
21;;;;
;;;;
;;;16;17
18;17;19;27;
19;;;;26
;21;21;21;
;;;;
20;22;;28;29
17;18;23;24;26
17;17;;;
22;17;22;;
19;16;;19;20
17;18;24;24;26
16;18;;30;30
17;25;25;25;25
19;;;;
18;18;;22;23
;;;;
;;;;
;;;;
18;17;;20;21
24;18;18;29;21
18;;;24;25
20;17;;21;22
18;26;;24;26
17;27;;42;
17;26;;22;23
17;;;18;19
18;;;24;25
18;20;;20;30
18;20;;35;
18;18;;18;19
20;18;;23;23
18;;22;;
19;23;;24;24
18;20;;20;24
24;21;;23;24
;;;;
21;22;;22;23
18;20;;22;23
28;28;28;28;29
20;17;;;
18;19;41;19;20
21;25;;23;25
22;17;;25;25
18;18;;18;19
27;30;;30;22
22;;;;
20;23;;22;25
17;16;;19;20
16;22;21;21;23
23;18;;22;25
21;22;;22;22
19;19;;;
15;;;;
;19;;;
;17;22;22;23
;;;;
;15;;;
19;16;21;21;24
20;;;;
;26;28;;29
;18;;;
;;;;24
20;18;;;
;;18;23;24
;18;;;
21;20;;20;22
20;17;;24;
18;15;;;
21;;;23;24
;;;21;22
;20;;22;24
22;34;;23;24
15;;;;
;;;27;28
21;30;;28;28
;17;;;
;24;;24;25
;;;22;23
;;;23;24
19;19;;20;
;;;;
20;20;17;21;22
22;25;;25;27
21;19;19;19;19
;;;20;29
22;;25;25;26
23;;26;26;27
22;;26;26;27
19;22;;22;23
20;23;;23;26
19;;17;18;18
20;;;23;
18;;;;
15;20;23;23;23
20;21;;26;28
21;;;;
;16;16;;17
18;27;;27;28
19;19;;19;29
20;17;;;
19;35;;23;23
19;;;34;36
20;20;;20;21
18;21;;21;22
18;29;;29;29
23;18;;21;23
16;21;;21;22
16;22;;22;22
19;19;;19;22
19;16;;18;19
16;18;23;26;28
16;17;39;39;
16;18;;18;19
13;36;;36;37
18;27;;25;28
27;;22;22;26
17;17;;24;25
14;19;;23;24
21;19;23;26;28
16;19;;22;24
18;22;22;33;23
16;17;;23;24
18;;;21;25
16;16;;;20
20;21;;21;22
19;21;;21;24
17;;;21;23
;;;;
20;22;;22;23
;22;;22;23
20;;;;
21;18;;22;24
21;18;;21;24
18;;;18;19
19;;;21;22
24;24;;20;21
25;;;;
20;22;;22;23
20;20;;20;
16;;;19;21
18;;;;
20;20;;24;26
19;15;;24;
19;;23;26;26
24;;;22;23
15;20;32;;22
;;;;
20;20;;20;22
22;23;;23;24
16;16;;25;25
20;20;20;;
18;24;;;
;18;20;30;24
19;23;20;;22
18;17;;19;27
16;18;;;23
;;;;21
;;;;
;;;23;25
17;20;;;
